ID,ModeOfTransport,Attributes,EarliestStartTime,LatestEndTime,StartLocation,EndLocation
1264,pedestrian,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home
979,car,"[1, 1]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
36,car,"[0, 0]",2025-03-05T10:00:00+01:00,2025-03-05T17:00:00+01:00,HQ,HQ
33,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ
1335,pedestrian,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:15:00+01:00,Home,Home
949,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ
1376,bicycle,"[0, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home
1183,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home
1167,pedestrian,"[0, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home
1322,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,Home,Home
438,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
284,car,"[0, 0]",2025-03-05T13:00:00+01:00,2025-03-05T14:00:00+01:00,HQ,HQ
1108,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ
1173,car,"[0, 0]",2025-03-05T08:45:00+01:00,2025-03-05T15:30:00+01:00,HQ,HQ
1355,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home
355,bicycle,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,Home,Home
113,car,"[0, 1]",2025-03-05T09:00:00+01:00,2025-03-05T14:00:00+01:00,HQ,HQ
1292,pedestrian,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home
1343,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home
1148,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
958,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,HQ,HQ
1284,bicycle,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home
756,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,HQ,HQ
1364,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
1180,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,Home,Home
1146,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,HQ,HQ
833,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
1358,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T14:45:00+01:00,Home,Home
1243,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ
905,car,"[0, 0]",2025-03-05T07:45:00+01:00,2025-03-05T15:15:00+01:00,HQ,HQ
1306,pedestrian,"[0, 0]",2025-03-05T07:45:00+01:00,2025-03-05T15:00:00+01:00,Home,Home
1163,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home
