,0,156,174,269,272,273,305,396,406,457,464,529,554,583,664,679,822,827,831,850,970,978,1015,1062,1106,1132,1138,1184,1201,1205,1208,1222,1225,1229,1284,1298,1315,1327,1330,1336,1337,1349,1366,1369,1371,1387,1388,1401,1403,1409,1419,1428,1429,1452,1453,1455,1463,1464,1467,1474,1477,1543,1557,1569,1584,1585,1590,1593,1594,1607,1612,1615,1619,1632,1642,1645,1648,1649,1654,1660,1661,1663,1664,1669,1675,1676,1678,1679,1680,1682,1687,1690,1691,1694,1695,1704,1709,1712,1714,1715
0,0,158,751,853,658,262,471,653,691,1357,1178,1242,1173,1122,1081,795,2705,291,978,480,786,938,2802,1114,598,2954,1244,1123,2662,935,1130,1078,1006,1476,969,1514,1946,264,590,1228,854,940,1525,2812,994,1044,786,1024,1005,453,721,420,791,587,587,265,1525,884,866,350,1227,1831,415,947,1532,1532,1166,1063,798,2574,956,1136,462,910,2071,2640,1215,2877,947,371,1179,2701,1424,933,1524,2797,1276,1126,806,356,1118,1287,351,1109,1058,1470,1535,399,1157,370
156,177,0,778,786,626,316,424,638,718,1325,1204,1211,1200,1149,1050,764,2732,244,1005,433,813,965,2829,1083,586,2981,1213,1149,2688,962,1099,1104,975,1503,996,1383,1915,167,559,1197,881,966,1393,2838,1021,1013,813,993,974,407,748,475,760,614,614,320,1393,818,800,408,1196,1800,300,916,1400,1400,1192,1089,767,2600,925,1072,416,937,2039,2666,1183,2903,916,325,1147,2728,1236,960,1393,2824,1245,1062,832,411,1087,1256,406,1078,1027,1497,1403,454,1184,342
174,742,899,0,601,1225,829,664,463,127,1923,624,1809,579,615,1648,1362,2096,881,471,674,279,332,2193,1681,408,2345,1811,615,2053,329,1697,571,1573,969,462,1007,2513,957,1157,1795,248,432,1018,2203,487,1611,279,1591,1572,755,135,568,1358,358,358,832,1018,633,520,649,1794,2398,594,1514,1024,1024,611,555,1365,1965,1523,763,656,403,2637,2030,1781,2267,1514,630,1746,2092,917,426,1017,2188,1843,753,298,601,1685,1854,451,1676,1625,963,1027,627,548,709
269,785,740,476,0,1268,872,505,183,416,1967,890,1852,845,834,1691,1405,2362,722,690,514,498,657,2459,1724,230,2611,1854,835,2319,654,1740,790,1616,993,681,853,2556,868,1200,1838,573,651,864,2469,706,1654,498,1634,1615,595,446,808,1401,338,338,875,864,31,154,828,1837,2441,563,1557,871,871,878,774,1408,2231,1566,543,496,511,2680,2297,1825,2534,1557,470,1789,2358,706,645,863,2454,1886,533,518,807,1728,1897,644,1719,1668,987,874,873,814,888
272,803,733,1390,1492,0,729,1143,1292,1330,775,1817,660,1812,1761,499,310,3344,943,1617,1152,1425,1577,3441,533,1237,3593,662,1762,3301,1574,548,1717,590,2115,1608,2153,1364,608,41,646,1493,1578,2164,3451,1633,462,1425,443,672,1132,1360,1055,375,1226,1226,732,2164,1523,1505,834,645,1249,1054,365,2171,2171,1805,1701,382,3213,374,1775,1134,1549,1489,3279,633,3516,365,1043,597,3340,2063,1572,2163,3436,695,1765,1445,991,536,668,986,528,476,2109,2174,1034,1796,767
273,243,380,831,932,478,0,583,732,771,1177,1257,1063,1252,1202,901,616,2785,492,1058,592,865,1018,2881,935,678,3033,1064,1202,2741,1015,951,1157,827,1556,1049,1593,1767,210,411,1049,933,1019,1604,2891,1073,865,865,845,826,572,800,440,612,666,666,3,1604,964,946,183,1047,1651,495,768,1611,1611,1245,1142,619,2653,777,1215,575,989,1891,2719,1035,2956,768,484,999,2781,1504,1013,1603,2877,1097,1205,885,374,939,1108,351,930,879,1550,1614,400,1237,203
305,417,363,482,490,900,504,0,342,422,1599,909,1484,904,853,1323,1038,2436,344,709,9,517,669,2533,1357,290,2685,1486,853,2393,666,1372,809,1248,1207,700,1087,2188,491,833,1471,585,670,1098,2543,725,1287,517,1267,1248,218,452,520,1033,318,318,507,1098,522,504,529,1469,2073,178,1190,1104,1104,896,793,1040,2305,1198,777,22,641,2313,2370,1457,2607,1190,93,1421,2432,940,664,1097,2528,1519,767,537,524,1360,1529,518,1352,1300,1201,1108,589,888,612
396,589,590,319,260,1072,676,354,0,260,1771,746,1656,741,690,1495,1210,2274,571,546,363,354,507,2370,1529,47,2522,1658,691,2230,503,1544,646,1420,1044,538,897,2360,717,1004,1643,422,508,908,2380,562,1459,354,1439,1420,444,289,625,1205,155,155,679,908,291,273,645,1641,2245,381,1361,915,915,734,631,1212,2142,1370,587,346,478,2485,2208,1629,2445,1361,319,1593,2269,750,501,907,2366,1691,577,374,625,1532,1701,461,1524,1472,1039,918,690,726,705
406,630,788,121,490,1113,717,553,351,0,1812,632,1697,627,577,1536,1250,2160,770,433,562,241,327,2256,1569,296,2409,1699,577,2116,324,1585,532,1461,931,424,968,2401,845,1045,1683,243,394,979,2266,449,1499,241,1479,1460,643,38,523,1246,246,246,720,979,521,408,604,1682,2286,482,1402,986,986,620,517,1253,2028,1411,651,544,365,2526,2094,1670,2331,1402,518,1634,2156,879,388,979,2252,1731,641,260,556,1573,1742,406,1564,1513,925,989,582,612,664
457,1516,1446,2103,2205,713,1442,1856,2005,2043,0,2530,257,2525,2474,286,827,4057,1656,2330,1865,2138,2290,4154,450,1950,4306,380,2475,4014,2287,462,2430,1256,2828,2321,2866,1155,1321,751,243,2206,2291,2877,4164,2346,380,2138,400,856,1845,2073,1768,1041,1939,1939,1445,2877,2236,2218,1547,242,1040,1767,436,2884,2884,2518,2414,1048,3926,445,2488,1847,2262,860,3992,230,4229,436,1756,452,4053,2776,2285,2876,4149,389,2478,2158,1704,306,852,1699,438,292,2822,2887,1747,2509,1480
464,1267,1425,718,1127,1750,1354,1190,988,680,2449,0,2334,30,548,2173,1888,1857,1407,460,1199,516,550,1954,2207,933,2106,2336,366,1814,547,2222,504,2098,575,492,757,3038,1482,1683,2321,466,462,768,1964,420,2137,516,2117,2098,1280,707,1245,1883,883,883,1357,768,1158,1045,1325,2319,2923,1120,2040,828,828,9,489,1890,1726,2048,883,1182,608,3163,1791,2307,2029,2040,1155,2271,1853,667,552,767,1949,2369,824,535,1278,2210,2379,1127,2202,2150,570,818,1303,188,1462
529,1388,1318,1975,2076,585,1313,1727,1877,1915,242,2401,0,2397,2346,158,698,3929,1527,2202,1736,2010,2162,4026,229,1822,4178,320,2346,3885,2159,241,2302,1128,2700,2193,2738,1175,1193,623,29,2078,2163,2748,4036,2218,159,2010,179,728,1717,1945,1640,913,1811,1811,1317,2748,2108,2090,1419,28,1060,1639,308,2755,2755,2389,2286,920,3798,317,2360,1719,2134,910,3863,225,4100,308,1628,324,3925,2648,2157,2748,4021,168,2349,2029,1576,84,724,1571,458,164,2694,2758,1619,2381,1352
554,1292,1449,743,1151,1775,1378,1214,1013,704,2473,38,2359,0,573,2198,1912,1837,1431,485,1223,520,554,1934,2231,958,2086,2361,390,1793,551,2247,528,2123,600,496,782,3063,1507,1707,2345,470,466,792,1944,445,2161,520,2141,2122,1305,732,1269,1908,908,908,1382,792,1183,1070,1350,2344,2948,1144,2064,852,852,26,513,1915,1706,2073,907,1206,612,3187,1771,2331,2008,2064,1180,2296,1833,692,556,792,1929,2393,849,538,1302,2235,2404,1152,2226,2175,594,842,1328,148,1487
583,1125,1283,576,985,1608,1212,1048,846,538,2307,353,2192,348,0,2031,1746,2199,1265,224,1057,324,671,2296,2065,791,2448,2194,84,2156,667,2080,29,1956,651,200,689,2896,1340,1540,2178,586,240,700,2306,44,1994,324,1975,1955,1138,565,1102,1741,741,741,1215,700,1016,613,1183,2177,2781,978,1897,707,707,341,32,1748,2068,1906,815,1040,416,3021,2134,2165,2371,1897,1013,2129,2195,599,360,699,2291,2227,756,343,1136,2068,2237,985,2059,2008,645,710,1161,474,1320
