Caregiver,Node,Time
979,start,436.6
979,end,1360.65
979,4693295,450.0
979,4721787,450.0
979,4733907,450.0
979,4724735,450.0
979,4731853,450.0
979,4732896,450.0
979,4938897,460.0
979,4733070,470.0
979,4743706,475.0
979,4734445,485.0
979,4727967,485.0
979,4722509,490.0
979,4891887,500.0
979,4721760,500.0
979,4702058,500.0
979,4756715,510.0
979,4786892,520.0
979,4725494,520.0
979,4693561,525.0
979,4730147,525.0
979,4932842,530.0
979,4727042,535.0
979,4755941,540.0
979,4893803,540.0
979,4723154,545.0
979,4732877,545.0
979,4729186,555.0
979,4972537,555.0
979,4728987,560.0
979,4730702,560.0
979,4694787,570.0
979,4702923,570.0
979,4734848,575.0
979,4730354,580.0
979,4708841,580.0
979,4693290,580.0
979,4735663,580.0
979,4884486,595.0
979,4724256,595.0
979,4710478,600.0
979,4932407,610.0
979,4885322,615.0
979,4728298,615.0
979,4753375,615.0
979,4702524,615.0
979,4730655,625.0
979,4702356,625.0
979,4730247,635.0
979,4797892,635.0
979,4710465,645.0
979,4887383,645.0
979,4894706,645.0
979,4729739,650.0
979,4838980,650.0
979,4735978,670.0
979,4731996,675.0
979,4735037,680.0
979,4724314,680.0
979,4731337,695.0
979,4938036,700.0
979,4730593,700.0
979,4885503,700.0
979,4928890,725.0
979,4790595,730.0
979,4701877,735.0
979,4730749,745.0
979,4736719,750.0
979,4693707,760.0
979,4741899,775.0
979,4786945,780.0
979,4972608,780.0
979,4852582,790.0
979,4753505,790.0
979,4884667,800.0
979,4724372,805.0
979,4731689,810.0
979,4732026,815.0
979,4743901,825.0
979,4735754,825.0
979,4893983,825.0
979,4735265,835.0
979,4753291,855.0
979,4733097,855.0
979,4736815,860.0
979,4731809,870.0
979,4732377,875.0
979,4896875,880.0
979,4734654,890.0
979,4722065,895.0
979,4839793,905.0
979,4753132,915.0
979,4885142,915.0
979,4894526,915.0
979,4728533,925.0
979,4937903,935.0
979,4702705,935.0
979,4701575,945.0
979,4724481,960.0
979,4941500,960.0
979,4900387,960.0
979,4699500,975.0
979,4937257,980.0
979,4702887,985.0
979,4928047,995.0
979,4726331,995.0
979,4722108,1005.0
979,4728949,1010.0
979,4698563,1025.0
979,4722966,1040.0
979,4724930,1040.0
979,4732034,1040.0
979,4724899,1045.0
979,4744890,1055.0
979,4734022,1060.0
979,4736188,1065.0
979,4882193,1080.0
979,4699681,1085.0
979,4894163,1100.0
979,4724613,1105.0
979,4729287,1115.0
979,4746903,1125.0
979,4796025,1125.0
979,4728606,1135.0
979,4725698,1140.0
979,4805864,1150.0
979,4748686,1165.0
979,4693692,1165.0
979,4727518,1165.0
979,4837891,1170.0
979,4727202,1185.0
979,4723472,1185.0
979,4702239,1185.0
979,4728506,1195.0
979,4883467,1205.0
979,4887203,1215.0
979,4934457,1220.0
979,4936203,1225.0
979,4894344,1225.0
979,4728259,1230.0
979,4731547,1240.0
979,4723039,1245.0
979,4730988,1245.0
979,4891351,1250.0
979,4734561,1270.0
979,4699862,1280.0
979,4698742,1280.0
979,4941860,1290.0
979,4735549,1290.0
979,4733027,1295.0
979,4897057,1320.0
979,4939053,1320.0
979,4744343,1325.0
979,4884848,1330.0
979,4730557,1330.0
